# x, y, y', y'', f(x), f'(x), f''(x), F(x)
-1,0.35322690848236,0.192497730304415,-10.1800432417355,0.360035367987218,0.0174375730506122,-8.50765087553743,0.119022381505982
-0.97979797979798,0.354978662414129,-0.0219490894368254,-11.0335704377848,0.358590004979911,-0.16352954621769,-9.3985629884303,0.126287379028087
-0.95959595959596,0.352231121729726,-0.252561844497521,-11.7770416421194,0.35331123774052,-0.361836460230322,-10.220265615216,0.133485046047998
-0.939393939393939,0.344681547476605,-0.496911784957936,-12.3902575142356,0.343864543374892,-0.575839073213736,-10.9483336474996,0.140534505126331
-0.919191919191919,0.332080325774286,-0.752171738860483,-12.8540465117025,0.329953618932885,-0.803397154426092,-11.5581789734227,0.147348489964701
-0.898989898989899,0.314238777197229,-1.0151413052079,-13.1507036497128,0.311330394195243,-1.04187753339147,-12.0257009719203,0.153834218773175
-0.878787878787879,0.291036367733596,-1.28228089403029,-13.2644260090677,0.287804844150966,-1.28817086903859,-12.327976678743,0.15989446835479
-0.858585858585859,0.262427143911851,-1.54975444992225,-13.181735236751,0.259254320182129,-1.53872259415169,-12.443970408515,0.165428842042733
-0.838383838383838,0.228445220004828,-1.81348049529449,-12.8918770162238,0.225632111104959,-1.78957820553931,-12.3552404997326,0.170335218855257
-0.818181818181818,0.1892091546214,-2.06919092632208,-12.3871874468512,0.186974946435643,-2.03644260427283,-12.0466195169649,0.174511365394428
-0.797979797979798,0.144925067493977,-2.31249679298294,-11.6634164771275,0.143409165097233,-2.2747527062039,-11.506843800828,0.177856686297218
-0.777777777777778,0.0958883647818509,-2.53896009966386,-10.7199989924746,0.0951552934389499,-2.49976205943484,-10.729108767593,0.180274083648004
-0.757575757575758,0.0424839625495819,-2.74417047966261,-9.56026486694759,0.042530806691686,-2.70663574208421,-9.71152784909909,0.181671890877048
-0.737373737373737,-0.0148150770427492,-2.92382543059294,-8.19158024413282,-0.0140491127732216,-2.89055339014725,-8.45747540601943,0.181965842488371
-0.717171717171717,-0.0754505542743096,-3.0738126530943,-6.62541350393474,-0.0740729597751498,-3.04681784012319,-6.97579727257666,0.181081037654775
-0.696969696969697,-0.138783811870795,-3.19029291693798,-4.87732078004418,-0.136936518755467,-3.17096658110391,-5.28087668281036,0.178953853436192
