# x, y(x)
0,-2.26696802908198
0.005,-2.25896635288993
0.01,-2.25009209397909
0.015,-2.2403846155532
0.02,-2.22989180075836
0.025,-2.21866985994471
0.03,-2.20678296466768
0.035,-2.19430269726461
0.04,-2.18130730813852
0.045,-2.16788077691487
0.05,-2.15411167838942
0.055,-2.14009185960283
0.06,-2.125914940367
0.065,-2.11167465599712
0.07,-2.09746306769645
0.075,-2.08336867278224
0.08,-2.06947445347846
0.085,-2.05585590905049
0.09,-2.04257912131443
0.095,-2.02969890770454
0.1,-2.01725711881702
0.105,-2.00528113837903
0.11,-1.99378264266671
0.115,-1.98275667332278
0.12,-1.97218107218026
0.125,-1.96201631905361
0.13,-1.95220580358077
0.135,-1.9426765502681
0.14,-1.93334040219855
0.145,-1.92409565381521
0.15,-1.91482910729301
0.155,-1.90541851085594
0.16,-1.89573532164339
0.165,-1.88564772107555
0.17,-1.87502379781877
0.175,-1.86373480308216
0.18,-1.85165837569886
0.185,-1.8386816307681
0.19,-1.8247040059357
0.195,-1.80963976388422
0.2,-1.79342005832306
0.205,-1.77599448354919
0.21,-1.75733204413007
0.215,-1.7374215008903
0.22,-1.71627107144009
0.225,-1.69390748710189
0.23,-1.6703744323019
0.235,-1.64573041626614
0.24,-1.6200461491575
0.245,-1.59340151461217
0.25,-1.56588224707682
0.255,-1.53757643464614
0.26,-1.50857097566816
0.265,-1.47894811985011
0.27,-1.44878222181777
0.275,-1.41813682715709
0.28,-1.38706219823446
0.285,-1.35559337010629
0.29,-1.32374880633758
0.295,-1.29152970145225
0.3,-1.2589199520428
0.305,-1.2258867933375
0.31,-1.19238207332713
0.315,-1.15834411341077
0.32,-1.12370008385567
0.325,-1.08836880496666
0.33,-1.05226387134335
0.335,-1.01529698739256
0.34,-0.977381397576635
0.345,-0.938435294728248
0.35,-0.898385093962584
0.355,-0.857168467903824
0.36,-0.814737050598869
0.365,-0.771058731980746
0.37,-0.726119481348858
0.375,-0.679924656290093
0.38,-0.632499772003632
0.385,-0.583890724371673
0.39,-0.534163477655991
0.395,-0.483403243799647
0.4,-0.431713194481724
0.405,-0.379212758936078
0.41,-0.326035569850664
0.415,-0.272327126283138
0.42,-0.218242246448441
0.425,-0.163942384547702
0.43,-0.10959288469867
0.435,-0.0553602417529068
0.44,-0.00140943365597998
0.445,0.0520986166284664
0.45,0.105009399386221
0.455,0.157176954918116
0.46,0.208465756083349
0.465,0.258752312968229
0.47,0.307926484899259
0.475,0.355892493443102
0.48,0.40256963780678
0.485,0.447892721010724
0.49,0.491812201241987
0.495,0.534294087834933
0.5,0.57531960533928
0.505,0.614884652112721
0.51,0.652999081800431
0.515,0.689685836797685
0.52,0.724979961718766
0.525,0.758927519881704
0.53,0.791584420489616
0.535,0.823015121738397
0.54,0.85329106659428
0.545,0.882488456276205
0.55,0.910684447932994
0.555,0.937949945265081
0.56,0.96433584676134
0.565,0.989848424402417
0.57,1.01440988822551
0.575,1.03780481722514
0.58,1.05962507234801
0.585,1.07924576413053
0.59,1.09588666057392
0.595,1.10882060347197
0.6,1.11775953601268
0.605,1.12336396715829
0.61,1.12769852248022
0.615,1.13435613872351
0.62,1.14798733779699
0.625,1.17316187199522
0.63,1.21282250019306
0.635,1.26690661549146
0.64,1.33179902098525
0.645,1.40101477403154
0.65,1.46697724675288
0.655,1.52322855866761
0.66,1.56619247011761
0.665,1.59583430780012
0.67,1.61509347885949
0.675,1.6284951081551
0.68,1.64060548322824
0.685,1.65490279868725
0.69,1.67331657978877
0.695,1.69635819037782
0.7,1.72357723576465
0.705,1.75406763082964
0.71,1.7868484615317
0.715,1.8210677605305
0.72,1.85606125129219
0.725,1.89132830546957
0.73,1.92647978445105
0.735,1.9611905603528
0.74,1.99516961171623
0.745,2.02814864394549
0.75,2.05988538761084
0.755,2.09017699662859
0.76,2.11887966717112
0.765,2.14593132115074
0.77,2.17137451840017
0.775,2.1953767516791
0.78,2.21824516600543
0.785,2.24043274829767
0.79,2.26253331465466
0.795,2.28526327135345
0.8,2.30942916275997
0.805,2.33588139572609
0.81,2.36545612868175
0.815,2.39890895882343
0.82,2.43684551716321
0.825,2.47965516217017
0.83,2.5274544454847
0.835,2.58004676465748
0.84,2.63690356541325
0.845,2.69717066625283
0.85,2.75970091963997
0.855,2.82311176023679
0.86,2.88586354685625
0.865,2.94635232136394
0.87,3.00300898876206
0.875,3.05439618829433
0.88,3.09929437666926
0.885,3.13676984699419
0.89,3.16621939644238
0.895,3.18738886428777
0.9,3.2003654609691
0.905,3.20554635917938
0.91,3.20358812014769
0.915,3.195342963286
0.92,3.18178854208863
0.925,3.16395776325349
0.93,3.14287438074939
0.935,3.11949878940322
0.94,3.09468685288159
0.945,3.06916295381843
0.95,3.0435069481233
0.955,3.01815349038928
0.96,2.99340136010471
0.965,2.96942998344123
0.97,2.94632028259996
0.975,2.92407722412449
0.98,2.90265188708536
0.985,2.88196143428053
0.99,2.86190595610825
0.995,2.84238169746339
1,2.82329062581933
1.005,2.80454662978123
1.01,2.78607884821748
1.015,2.76783273211153
1.02,2.74976945543436
1.025,2.7318642425294
1.03,2.71410409230615
1.035,2.69648527522601
1.04,2.67901087400202
1.045,2.66168854416779
1.05,2.6445285923411
1.055,2.62754241028916
1.06,2.61074126113148
1.065,2.5941353877903
1.07,2.57773339990588
1.075,2.56154189053816
1.08,2.54556523506168
1.085,2.52980552925865
1.09,2.51426262987881
1.095,2.49893426759712
1.1,2.4838162085827
1.105,2.46890244638728
1.11,2.45418541041877
1.115,2.4396561808982
1.12,2.42530470300742
1.125,2.41111999505827
1.13,2.39709034709442
1.135,2.38320350750277
1.14,2.36944685606955
1.145,2.35580756255112
1.15,2.34227273030313
1.155,2.32882952487022
1.16,2.31546528771252
1.165,2.30216763545757
1.17,2.28892454523042
1.175,2.27572442674145
1.18,2.26255618190663
1.185,2.24940925284445
1.19,2.23627365914003
1.195,2.22314002529404
1.2,2.2099995992834
1.205,2.19684426315583
1.21,2.18366653656227
1.215,2.17045957410234
1.22,2.15721715732056
1.225,2.14393368214671
1.23,2.13060414252309
1.235,2.11722411090838
1.24,2.1037897162909
1.245,2.09029762028679
1.25,2.07674499184107
1.255,2.06312948099248
1.26,2.04944919210793
1.265,2.03570265693945
1.27,2.02188880780605
1.275,2.00800695115634
1.28,1.99405674172369
1.285,1.9800381574461
1.29,1.96595147528647
1.295,1.95179724805668
1.3,1.93757628231964
1.305,1.9232896174186
1.31,1.90893850566063
1.315,1.89452439366276
1.32,1.88004890485322
1.325,1.8655138231075
1.33,1.85092107748801
1.335,1.83627272804811
1.34,1.82157095265492
1.345,1.80681803478069
1.35,1.79201635220944
1.355,1.77716836660414
1.36,1.76227661387876
1.365,1.74734369531996
1.37,1.73237226940438
1.375,1.71736504425891
1.38,1.70232477071358
1.385,1.6872542358991
1.39,1.67215625734386
1.395,1.65703367752776
1.4,1.64188935885365
1.405,1.62672617899939
1.41,1.61154702661708
1.415,1.5963547973484
1.42,1.58115239012776
1.425,1.56594270374754
1.43,1.55072863366224
1.435,1.53551306901028
1.44,1.52029888983461
1.445,1.50508896448497
1.45,1.48988614718657
1.455,1.47469327576133
1.46,1.45951316948962
1.465,1.44434862710133
1.47,1.42920242488657
1.475,1.41407731491735
1.48,1.39897602337221
1.485,1.38390124895703
1.49,1.36885566141574
1.495,1.3538419001252
1.5,1.33886257276944
1.505,1.32392025408869
1.51,1.30901748469902
1.515,1.29415676997919
1.52,1.27934057902113
1.525,1.26457134364123
1.53,1.24985145744967
1.535,1.2351832749752
1.54,1.2205691108433
1.545,1.20601123900533
1.55,1.1915118920171
1.555,1.17707326036474
1.56,1.16269749183652
1.565,1.14838669093892
1.57,1.1341429183556
1.575,1.11996819044794
1.58,1.10586447879604
1.585,1.09183370977881
1.59,1.07787776419227
1.595,1.06399847690507
1.6,1.05019763655008
1.605,1.03647698525137
1.61,1.02283821838569
1.615,1.00928298437759
1.62,0.995812884527416
1.625,0.982429472871646
1.63,0.969134256074595
1.635,0.955928693351066
1.64,0.942814196419193
1.645,0.929792129482888
1.65,0.916863809243319
1.655,0.904030504938798
1.66,0.89129343841256
1.665,0.878653784207838
1.67,0.866112669689717
1.675,0.853671175193195
1.68,0.841330334196954
1.685,0.829091133522261
1.69,0.8169545135565
1.695,0.804921368500775
1.7,0.792992546641075
1.705,0.78116885064242
1.71,0.769451037865482
1.715,0.757839820705102
1.72,0.74633586695017
1.725,0.734939800164271
1.73,0.723652200086576
1.735,0.712473603052342
1.74,0.701404502432491
1.745,0.690445349091635
1.75,0.679596551863971
1.755,0.668858478046427
1.76,0.658231453908442
1.765,0.647715765217782
1.77,0.637311657781725
1.775,0.627019338003018
1.78,0.61683897344995
1.785,0.606770693439896
1.79,0.596814589635692
1.795,0.586970716654189
1.8,0.57723909268632
1.805,0.567619700128046
1.81,0.558112486221501
1.815,0.548717363705701
1.82,0.539434211476141
1.825,0.530262875252635
1.83,0.521203168254748
1.835,0.51225487188416
