#Numerical GSE = -0.501839304617699, Analytical GSE = -0.5
#
#r,numericalWF,analyticWF
0.1,0.09,0.090483741803596
0.11,0.0979145165537416,0.0985417548826181
0.123889667361755,0.108628416486364,0.109453710291485
0.141056920846375,0.121431964325303,0.122499455124943
0.160821776924443,0.13558868988499,0.136930705594063
0.182522291679122,0.150434113584327,0.152071380637448
0.205610409857677,0.165454206657262,0.167397756183715
0.229689392792198,0.180298902553971,0.182552634070795
0.254487552943867,0.194744837932393,0.197307687143105
0.279826433608604,0.208657407109401,0.211524979392345
0.305593139682997,0.221960553566339,0.225126275377256
0.331719304453079,0.234615313780396,0.238071211842255
0.358166203940373,0.246605522539423,0.250342738144593
0.384914662664662,0.257928655717009,0.261937779212997
0.411958395076917,0.268590111341233,0.272861397924232
0.439299698447151,0.278599699381931,0.283123207784106
0.466946711261858,0.287969514188992,0.29273519564715
0.494911696781905,0.296712657674938,0.301710412863038
0.523209991820865,0.304842479566415,0.310062194773213
0.551859385813251,0.312372128896614,0.317803698598574
0.580879779031628,0.319314291196255,0.324947631544639
0.610293023873393,0.325681035401573,0.331506091479291
0.640122888908098,0.331483724738202,0.33749047339358
0.670395108488129,0.336732964136542,0.342911413539751
0.701137495664371,0.341438567730257,0.347778754378602
0.732380105879865,0.345609536556632,0.352101520185857
0.764155445375576,0.349254040471542,0.355887897154558
0.796498722693236,0.352379400577042,0.3591452141733
0.829448144924355,0.35499206977691,0.361879921812564
0.863045262979386,0.357097609808179,0.364097567805227
0.897335372515606,0.358700663472019,0.365802767694585
0.932367979547852,0.359804920938069,0.366999169480017
0.96819734240685,0.360413078997937,0.367689411093824
1.00488310482889,0.360526792035903,0.367875069433692
1.04255541296398,0.360145531222198,0.36755563436362
1.08151634648877,0.359259638490495,0.366721613332809
1.12200198389476,0.357850738943043,0.365354410577944
1.16421602598322,0.355895430329398,0.363430170160391
1.20835077691651,0.353367090277457,0.360921664040832
1.2546012772527,0.350236700112966,0.35779915752172
1.30317583811536,0.346473132506991,0.354030716298188
1.35430496314901,0.342043128134679,0.349582189193043
1.40825001417857,0.336911069895223,0.344416979721149
1.46531270003626,0.331038597526969,0.338495651457119
1.52584643011437,0.324384064020191,0.331775369189078
1.59027074438026,0.316901803255843,0.32420914468307
1.6590904436985,0.308541145565172,0.315744821986417
1.73292180872202,0.299245074524559,0.306323692335296
1.81252964962416,0.288948350517148,0.295878558672773
1.89888135960788,0.277574810002788,0.284330949275391
1.99322868200826,0.265033334449119,0.271586957684841
2.09723685314886,0.251211558740906,0.257530747294349
2.21319976241563,0.235965484384983,0.24201382224961
2.34442389493454,0.219101037411425,0.224835962770379
2.4959797270585,0.200337939052301,0.205707833938872
2.67638042748488,0.179228192687815,0.184166482808115
2.8960844349319,0.155554500310071,0.159977067023404
3.13571526077631,0.132433180229403,0.136305313203345
3.38380382627886,0.111440084428103,0.114772501567554
3.63647101835789,0.0929725069807661,0.0958033805135679
3.89432454913697,0.0768987385340319,0.0792772323242358
4.16018272069888,0.0629407057387772,0.0649184297463891
4.4379991207668,0.0508268232242324,0.0524552163997476
4.73255336564079,0.0403343081923666,0.0416652227400761
5.04957566001183,0.0312899647622931,0.0323781505964927
5.3961748748124,0.0235580958365492,0.0244656660804266
5.78160117277564,0.0170246871776849,0.0178291502097204
6.21854953888066,0.0115778611340528,0.0123881754703486
6.72555281482824,0.00707676826584663,0.00806970227841627
7.33202701339827,0.00328162932523719,0.0047969499068681
8,-7.4222921955195E-07,0.00268370102322009
