#x,errorFunction
0.23,0.255021245057173
0.24,0.26569839420816
0.25,0.27632436247415
0.26,0.286897273876945
0.27,0.297415282597912
0.28,0.307876573939362
0.29,0.318279365258737
0.3,0.328621906874904
0.31,0.33890248294582
0.32,0.349119412316931
0.33,0.359271049339629
0.34,0.369355784659193
0.35,0.379372045971622
0.36,0.38931829874884
0.37,0.399193046931771
0.38,0.408994833590809
0.39,0.418722241553285
0.4,0.4283738939975
0.41,0.437948455013021
0.42,0.447444630126877
0.43,0.456861166795414
0.44,0.466196854861551
0.45,0.475450526977238
0.46,0.484621058990953
0.47,0.493707370300113
0.48,0.502708424168303
0.49,0.511623228007285
0.5,0.520450833623745
0.51,0.529240457369359
0.52,0.537895208270875
0.53,0.546460402127144
0.54,0.554935270207361
0.55,0.563319087871057
0.56,0.571611174534455
0.57,0.579810893602089
0.58,0.5879176523641
0.59,0.595930901859692
0.6,0.603850136707248
0.61,0.61167489490164
0.62,0.619404757579313
0.63,0.627039348751733
0.64,0.634578335007845
0.65,0.642021425186199
0.66,0.649368370017437
0.67,0.656618961737848
0.68,0.663773033674764
0.69,0.670830459804529
0.7,0.677791154283859
0.71,0.6846550709554
0.72,0.691422202828305
0.73,0.698092581534703
0.74,0.704666276762916
0.75,0.711143395668304
0.76,0.717524082262662
0.77,0.723808516783054
0.78,0.729996915041029
0.79,0.73608952775315
0.8,0.74208663985377
0.81,0.747988569791027
0.82,0.753795668806988
0.83,0.759508320202938
0.84,0.765126938590745
0.85,0.770651969131295
0.86,0.776083886760953
0.87,0.781423195407013
0.88,0.786670427193117
0.89,0.791826141635584
0.9,0.79689092483162
0.91,0.801865388640364
0.92,0.806750169857686
0.93,0.811579757466097
0.94,0.816288781106077
0.95,0.820910224872189
0.96,0.825444817501522
0.97,0.829893308441037
0.98,0.834256467002215
0.99,0.838535081515758
1,0.842729958487199
1.01,0.84799265993141
1.02,0.851982626364668
1.03,0.855892052417951
1.04,0.859721812270883
1.05,0.863472792677361
1.06,0.867145892241016
1.07,0.870742020693991
1.08,0.874262098179751
1.09,0.87770705454056
1.1,0.881077828610321
1.11,0.884375367513383
1.12,0.887600625969943
1.13,0.890754565608633
1.14,0.893838154286864
1.15,0.896852365419479
1.16,0.899798177316239
1.17,0.902676572528652
1.18,0.905488537206628
1.19,0.908235060465416
1.2,0.910917133763266
1.21,0.913535750290225
1.22,0.916091904368463
1.23,0.918586590864488
1.24,0.921020804613605
1.25,0.923395539856929
1.26,0.925711789691261
1.27,0.927970545532083
1.28,0.930172796589949
1.29,0.932714547344308
1.3,0.934793349053338
1.31,0.936818848807822
1.32,0.938792026783458
1.33,0.940713857913643
1.34,0.942585311474313
1.35,0.944407350683205
1.36,0.946180932313587
1.37,0.947907006322449
1.38,0.949586515493176
1.39,0.951220395092682
1.4,0.952809572542964
1.41,0.954354967107035
1.42,0.955857489589164
1.43,0.95731804204935
1.44,0.95873751753192
1.45,0.96011679980816
1.46,0.961456763132842
1.47,0.962758272014515
1.48,0.964022180999407
1.49,0.965249334468791
1.5,0.966440566449617
1.51,0.967596700438255
1.52,0.968718549237134
1.53,0.969806914804086
1.54,0.970862588114169
1.55,0.971886349033773
1.56,0.972878966206741
1.57,0.973841196952313
1.58,0.974773787174607
1.59,0.975677471283419
1.6,0.976552972126066
1.61,0.977401000930021
1.62,0.978222257256067
1.63,0.979017428961707
1.64,0.979787192174543
1.65,0.980532211275365
1.66,0.981253138890645
1.67,0.981950615894183
1.68,0.982625271417585
1.69,0.983277722869323
1.7,0.983908575962058
1.71,0.984518424747959
1.72,0.985107851661726
1.73,0.985677427571015
1.74,0.986227711834002
1.75,0.98675925236378
1.76,0.987272585699307
1.77,0.987768237082639
1.78,0.988246720542139
1.79,0.988708538981408
1.8,0.989154184273649
1.81,0.989584137361194
1.82,0.989998868359925
1.83,0.990398836668319
1.84,0.990784491080861
1.85,0.991156269905558
1.86,0.990610980720984
1.87,0.991000127119291
1.88,0.991374825150396
1.89,0.991735533591305
1.9,0.99208270005609
1.91,0.992416761123194
1.92,0.99273814246781
1.93,0.99304725899898
1.94,0.993344515001042
1.95,0.993630304279114
1.96,0.993905010308252
1.97,0.994169006385979
1.98,0.994422655787862
1.99,0.994666311925828
2,0.994900318508938
2.01,0.995125009706312
2.02,0.995340710311949
2.03,0.995547735911152
2.04,0.995746393048327
2.05,0.99593697939588
2.06,0.996119783923993
2.07,0.996295087071042
2.08,0.996463160914428
2.09,0.996624269341631
2.1,0.99677866822126
2.11,0.996926605573927
2.12,0.997068321742744
2.13,0.997204049563283
2.14,0.997334014532816
2.15,0.997458434978691
2.16,0.997577522225689
2.17,0.997691480762214
2.18,0.997800508405193
2.19,0.997904796463556
2.2,0.998004529900172
2.21,0.998099887492138
2.22,0.998191041989324
2.23,0.998278160271054
2.24,0.998361403500862
2.25,0.998440927279224
2.26,0.998516881794197
2.27,0.998589411969887
2.28,0.998658657612698
2.29,0.998724753555289
2.3,0.9987878297982
2.31,0.99884801164909
2.32,0.998905419859555
2.33,0.998960170759492
2.34,0.999012376388967
2.35,0.999062144627574
2.36,0.99910957932126
2.37,0.999154780406591
2.38,0.999197844032463
2.39,0.999238862679237
2.4,0.99927792527529
2.41,0.999315117311005
2.42,0.999350520950161
2.43,0.999384215138778
2.44,0.999416275711381
2.45,0.999446775494725
2.46,0.999475784408983
2.47,0.999503369566412
2.48,0.999529595367524
2.49,0.99955452359478
2.5,0.999578213503831
2.51,0.999600721912326
2.52,0.999622103286331
2.53,0.999642409824368
2.54,0.999661691539121
2.55,0.99967999633683
2.56,0.999697370094419
2.57,0.999713856734378
2.58,0.999729498297445
2.59,0.999744335013128
2.6,0.999758405368091
2.61,0.999771746172454
2.62,0.999784392624049
2.63,0.999796378370654
2.64,0.999807735570266
2.65,0.999818494949444
2.66,0.999828685859756
2.67,0.999838336332388
2.68,0.999847473130941
2.69,0.999856121802464
2.7,0.999864306726765
2.71,0.999872051164035
2.72,0.999879377300841
2.73,0.999886306294505
2.74,0.999892858315938
2.75,0.99989905259094
2.76,0.999904907440039
2.77,0.999910440316875
2.78,0.999915667845194
2.79,0.999920605854482
2.8,0.99992526941427
2.81,0.999929672867165
2.82,0.999933829860628
2.83,0.999937753377546
2.84,0.99994145576563
2.85,0.99994494876568
2.86,0.999948243538741
2.87,0.999951350692202
2.88,0.999954280304853
2.89,0.999957041950945
2.9,0.999959644723288
2.91,0.999962097255406
2.92,0.999964407742793
2.93,0.999966583963296
2.94,0.999968633296649
2.95,0.999970562743199
2.96,0.999972378941845
2.97,0.999974088187215
2.98,0.999975696446114
2.99,0.999977209373269
