#t,vx1,vy1,vx2,vy3,vx3,vy3,x1,y1,x2,y2,x3,y3
0,0.466203685,0.43236573,-0.93240737,-0.86473146,0.466203685,0.43236573,-0.97000436,0.24308753,0,0,0.97000436,-0.24308753
0.01,0.478409867164306,0.429223132923677,-0.932570512954397,-0.864525805062993,0.454160645790091,0.435302672139317,-0.965281697878015,0.247395994329504,-0.0093240737,-0.0086473146,0.974605771578015,-0.238748679729504
0.0250246203939466,0.497053429723909,0.4240932190151,-0.933427775773897,-0.863442893338273,0.436374346049988,0.439349674323173,-0.957955078456039,0.253808233347332,-0.0233392730591324,-0.0216318431025548,0.981294351515171,-0.232176390244777
0.0443939906725444,0.521620386172233,0.416703483643748,-0.935609206111819,-0.86067009653026,0.413988819939585,0.443966612886512,-0.948092410935302,0.261955386741812,-0.0414344568217731,-0.0383368510445004,0.989526867757075,-0.223618535697311
0.0670605747452701,0.551110014599296,0.406843819127875,-0.939673256922087,-0.855437279409577,0.388563242322791,0.448593460281702,-0.935939279473954,0.271296439533754,-0.0626784159088581,-0.0577981736509533,0.998617695382812,-0.213498265882801
0.0919821253941665,0.584409959216037,0.394339897489234,-0.945958688160983,-0.847166700586678,0.361548728944946,0.452826803097444,-0.921795358360561,0.281290893116444,-0.086163164376194,-0.0790304267720617,1.00795852273676,-0.202260466344382
0.118273753979429,0.620453675597278,0.379058911351172,-0.95453830132193,-0.83551095745541,0.334084625724651,0.456452046104239,-0.905962306114575,0.291472247706662,-0.111133902257021,-0.101170470622094,1.0170962083716,-0.190301777084569
0.145238454231304,0.658266137123916,0.360925764599935,-0.965242850303195,-0.820330197501723,0.306976713179278,0.459404432901787,-0.88872750087575,0.301466102979337,-0.137004520617483,-0.123517250758794,1.02573202149323,-0.177948852220543
0.172128878646349,0.696652918302153,0.340120053759002,-0.977610406141624,-0.801818022336646,0.28095748783947,0.461697968577644,-0.870514337676686,0.310910389391302,-0.163115825911588,-0.14535014384136,1.03363016358827,-0.165560245549942
0.198276352822752,0.734416223998816,0.317058625420008,-0.990987019394599,-0.780466843443555,0.256570795395782,0.463408218023547,-0.851807131258712,0.319520642965563,-0.188844704964413,-0.166058200069039,1.04065183622313,-0.153462442896524
0.223362017248716,0.770814590166638,0.292122689135752,-1.00478013812272,-0.756772521530352,0.233965547956086,0.4646498323946,-0.83292770114718,0.327178904075961,-0.213872048919233,-0.185359282233844,1.04679975006641,-0.141819621842117
0.247299278660305,0.805453638979446,0.265617168327792,-1.0185199833465,-0.731151448863518,0.213066344367056,0.465534280535726,-0.814060805006136,0.333870182727416,-0.238085434461933,-0.203185269075106,1.05214623946807,-0.13068491365231
0.270137794554334,0.838170448989404,0.237759085382277,-1.03186196535658,-0.703913134945796,0.193691516367176,0.46615404956352,-0.795289448345151,0.339632669152566,-0.261498559055523,-0.219588139099252,1.05678800740067,-0.120044530053314
0.291998200079099,0.86893996171334,0.20868320096536,-1.04456228532436,-0.675263595024813,0.175622323611023,0.466580394059453,-0.776626976751172,0.344525180241152,-0.284195201285926,-0.234676479093867,1.0608221780371,-0.109848701147285
0.313033092194337,0.897809496648521,0.178454114742213,-1.05644762446306,-0.645320411911799,0.15863812781454,0.466866297169587,-0.75804103354656,0.348608357013297,-0.30629466792865,-0.248577743223177,1.06433570147521,-0.10003061379012
0.333406581928677,0.924857185936892,0.147077949707739,-1.06738823732643,-0.61412854365217,0.14253105138954,0.467050593944431,-0.739469006136203,0.351934811111524,-0.32793293902467,-0.261418212745427,1.06740194516087,-0.0905165983660964
0.353285861042194,0.950167459069505,0.114510105037329,-1.07727671983629,-0.581671804603517,0.127109260766787,0.467161699566188,-0.720826256617594,0.354544278731917,-0.349254396590278,-0.273313734355764,1.07008065320787,-0.0812305443761536
0.372840450834224,0.973817378852746,0.0806573636469365,-1.08601148898154,-0.547877901787177,0.112194110128795,0.46722053814024,-0.702008498230587,0.356461049600882,-0.370410683807304,-0.284366467260077,1.07241918203789,-0.0720945823408057
0.392246936079841,0.995869192760219,0.0453729442716722,-1.09348278779239,-0.512615652646997,0.0976135950321706,0.467242708375325,-0.682888969353851,0.357691820454663,-0.391564979476213,-0.294664726054152,1.07445394883006,-0.0630270944005106
0.41169895369619,1.01636585085011,0.00844196214431038,-1.09955840025631,-0.475682010099606,0.0831925494061926,0.467240047955296,-0.663309822859555,0.358222495629809,-0.412901727875351,-0.304284300982081,1.07621155073491,-0.053938194647728
0.431424564489155,1.03532708492668,-0.030448442549454,-1.10406514755997,-0.43677332390932,0.0687380626332892,0.467221766458774,-0.643065023870314,0.358012189398481,-0.434644171102499,-0.313290479574448,1.07770919497281,-0.0447217098240326
0.45202881383655,1.05299363943259,-0.0724107466803182,-1.10678421724811,-0.394784101574218,0.0537905778155198,0.467194848254536,-0.621539325631165,0.35695903812582,-0.457431407238154,-0.32186383901225,1.07897073286932,-0.0350951991135711
0.47431106192204,1.06945729025785,-0.11904049937159,-1.10721893915431,-0.348124798748312,0.0377616488964593,0.467165298119902,-0.597877224749714,0.354832515819119,-0.482112750814866,-0.33014713473285,1.07998997556458,-0.0246853810862687
0.497820010444772,1.08368608883852,-0.169259647736907,-1.10464407774886,-0.297881620999686,0.0209579889103403,0.467141268736593,-0.572548911176556,0.35144880523024,-0.50813067603148,-0.337745657826148,1.08067958720804,-0.0137031474040925
0.52187815563316,1.09479328719889,-0.22127100628565,-1.09861877353183,-0.245858734876305,0.00382548633293659,0.467129741161956,-0.546322641872188,0.346753584629497,-0.534654728143189,-0.344288768434895,1.08097737001538,-0.00246481619460232
