#xValues,yValues,integral
-2,0,0
-1.95959595959596,0.141414141414142,0.00285685134169977
-1.91919191919192,0.282828282828283,0.0114274053667991
-1.87878787878788,0.424242424242424,0.025711662075298
-1.83838383838384,0.565656565656565,0.0457096214671973
-1.7979797979798,0.707070707070707,0.0714212835424952
-1.75757575757576,0.848484848484849,0.102846648301194
-1.71717171717172,0.98989898989899,0.139985715743291
-1.67676767676768,1.13131313131313,0.182838485868789
-1.63636363636364,1.27272727272727,0.231404958677686
-1.5959595959596,1.41414141414141,0.285685134169982
-1.55555555555556,1.55555555555556,0.345679012345679
-1.51515151515152,1.6969696969697,0.411386593204775
-1.47474747474747,1.81313131313131,0.482489031731456
-1.43434343434343,1.91414141414141,0.557787470666259
-1.39393939393939,2.01515151515151,0.63716712580349
-1.35353535353535,2.11616161616162,0.720627997143149
-1.31313131313131,2.21717171717172,0.808170084685236
-1.27272727272727,2.31818181818182,0.899793388429751
-1.23232323232323,2.41919191919192,0.995497908376696
-1.19191919191919,2.52020202020202,1.09528364452607
-1.15151515151515,2.62121212121212,1.19915059687787
-1.11111111111111,2.72222222222222,1.3070987654321
-1.07070707070707,2.82323232323232,1.41912815018876
-1.03030303030303,2.92424242424242,1.53523875114784
-0.98989898989899,3.01515151515152,1.65537955310683
-0.949494949494949,3.07575757575758,1.77842822161004
-0.909090909090909,3.13636363636364,1.90392561983471
-0.868686868686869,3.1969696969697,2.03187174778084
-0.828282828282828,3.25757575757576,2.16226660544842
-0.787878787878788,3.31818181818182,2.29511019283747
-0.747474747474747,3.37878787878788,2.43040250994796
-0.707070707070707,3.43939393939394,2.56814355677992
-0.666666666666667,3.5,2.70833333333333
-0.626262626262626,3.56060606060606,2.8509718396082
-0.585858585858586,3.62121212121212,2.99605907560453
-0.545454545454545,3.68181818181818,3.14359504132231
-0.505050505050505,3.74242424242424,3.29357973676156
-0.464646464646465,3.76767676767677,3.44538822569126
-0.424242424242424,3.78787878787879,3.59802571166208
-0.383838383838384,3.80808080808081,3.75147944087338
-0.343434343434343,3.82828282828283,3.90574941332517
-0.303030303030303,3.84848484848485,4.06083562901745
-0.262626262626263,3.86868686868687,4.21673808795021
-0.222222222222222,3.88888888888889,4.37345679012346
-0.181818181818182,3.90909090909091,4.53099173553719
-0.141414141414141,3.92929292929293,4.68934292419141
-0.101010101010101,3.94949494949495,4.84851035608611
-0.0606060606060606,3.96969696969697,5.0084940312213
-0.0202020202020201,3.98989898989899,5.16929394959698
0.0202020202020203,3.98989898989899,5.33070605040302
0.060606060606061,3.96969696969697,5.4915059687787
0.101010101010101,3.94949494949495,5.65148964391389
0.141414141414141,3.92929292929293,5.81065707580859
0.181818181818182,3.90909090909091,5.96900826446281
0.222222222222222,3.88888888888889,6.12654320987654
0.262626262626263,3.86868686868687,6.28326191204979
0.303030303030303,3.84848484848485,6.43916437098255
0.343434343434343,3.82828282828283,6.59425058667483
0.383838383838384,3.80808080808081,6.74852055912662
0.424242424242424,3.78787878787879,6.90197428833793
0.464646464646465,3.76767676767677,7.05461177430875
0.505050505050505,3.74242424242424,7.20642026323845
0.545454545454546,3.68181818181818,7.35640495867769
0.585858585858586,3.62121212121212,7.50394092439547
0.626262626262626,3.56060606060606,7.6490281603918
0.666666666666667,3.5,7.79166666666667
0.707070707070707,3.43939393939394,7.93185644322008
0.747474747474748,3.37878787878788,8.06959749005204
0.787878787878788,3.31818181818182,8.20488980716254
0.828282828282829,3.25757575757576,8.33773339455158
0.868686868686869,3.1969696969697,8.46812825221916
0.909090909090909,3.13636363636364,8.59607438016529
0.94949494949495,3.07575757575758,8.72157177838996
0.98989898989899,3.01515151515151,8.84462044689317
1.03030303030303,2.92424242424242,8.96476124885216
1.07070707070707,2.82323232323232,9.08087184981125
1.11111111111111,2.72222222222222,9.1929012345679
1.15151515151515,2.62121212121212,9.30084940312213
1.19191919191919,2.52020202020202,9.40471635547393
1.23232323232323,2.41919191919192,9.5045020916233
1.27272727272727,2.31818181818182,9.60020661157025
1.31313131313131,2.21717171717172,9.69182991531476
1.35353535353535,2.11616161616162,9.77937200285685
1.39393939393939,2.01515151515151,9.86283287419651
1.43434343434343,1.91414141414141,9.94221252933374
1.47474747474747,1.81313131313131,10.0175109682685
1.51515151515152,1.6969696969697,10.0886134067952
1.55555555555556,1.55555555555555,10.1543209876543
1.5959595959596,1.41414141414141,10.21431486583
1.63636363636364,1.27272727272727,10.2685950413223
1.67676767676768,1.13131313131313,10.3171615141312
1.71717171717172,0.989898989898989,10.3600142842567
1.75757575757576,0.848484848484848,10.3971533516988
1.7979797979798,0.707070707070705,10.4285787164575
1.83838383838384,0.565656565656565,10.4542903785328
1.87878787878788,0.424242424242424,10.4742883379247
1.91919191919192,0.282828282828282,10.4885725946332
1.95959595959596,0.141414141414141,10.4971431486583
2,0,10.5
